Strategy;GC;RB;LM;FE
0;0,70;0.00;0.65;0.07
0.1;0.72;0.00;0.72;0.00
0.2;0.67;0.09;0.68;0.22
0.3;0.51;0.06;0.59;0.19
0.4;0.43;0.04;0.53;0.17
0.5;0.43;0.08;0.53;0.16
0.6;0.41;0.04;0.47;0.15
0.7;0.40;0.06;0.46;0.14
0.8;0.39;0.05;0.45;0.14
0.9;0.40;0.04;0.45;0.14
1;0.39;0.05;0.43;0.13
