Features,GC,RB,LM,FE
1,0.34,0.00,0.64,0.00
2,0.70,0.00,0.65,0.00
3,0.70,0.00,0.65,0.00
4,0.70,0.00,0.64,0.01
5,0.72,0.00,0.64,0.01
6,0.69,0.00,0.63,0.01
7,0.69,0.00,0.63,0.07
8,0.74,0.00,0.63,0.08
9,0.74,0.00,0.63,0.08
10,0.75,0.00,0.64,0.07
11,0.75,0.00,,
12,0.74,0.00,,
