Features,GC,RB,LM,FE
1,0.34,0.00,0.64,0.00
2,0.67,0.00,0.64,0.00
3,0.66,0.00,0.65,0.00
4,0.55,0.00,0.64,0.01
5,0.73,0.00,0.64,0.01
6,0.71,0.00,0.64,0.01
7,0.72,0.00,0.64,0.05
8,0.73,0.00,0.64,0.07
9,0.74,0.17,0.64,0.07
10,0.74,0.00,0.64,0.06
11,0.74,0.00,,
12,0.74,0.00,,
