Strategy;GC;RB;LM;FE
0;0.89;0.50;0.89;0.52
0.1;0.95;0.50;0.94;0.50
0.2;0.98;0.87;0.93;0.77
0.3;0.96;0.80;0.92;0.81
0.4;0.87;0.86;0.89;0.84
0.5;0.87;0.81;0.92;0.84
0.6;0.93;0.86;0.92;0.85
0.7;0.93;0.85;0.92;0.85
0.8;0.92;0.88;0.93;0.85
0.9;0.93;0.87;0.93;0.85
1;0.92;0.87;0.93;0.85
